# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-05-07T16:00,79890.00000000,80269.06000000,79500.00000000,80146.11000000,3315.14425000
2026-05-07T20:00,80146.77000000,80371.23000000,79582.95000000,80006.00000000,1541.88635000
2026-05-08T00:00,80006.00000000,80142.84000000,79181.48000000,79578.85000000,3093.73664000
2026-05-08T04:00,79578.84000000,79778.95000000,79248.58000000,79682.40000000,2410.56518000
2026-05-08T08:00,79682.40000000,80340.94000000,79666.05000000,80231.22000000,2348.19703000
2026-05-08T12:00,80231.22000000,80500.00000000,79549.54000000,80142.14000000,3741.40163000
2026-05-08T16:00,80142.13000000,80299.99000000,79738.75000000,80179.94000000,3047.90033000
2026-05-08T20:00,80180.00000000,80409.09000000,80089.76000000,80193.17000000,1359.50928000
2026-05-09T00:00,80193.18000000,80550.67000000,80129.85000000,80383.95000000,1093.10948000
2026-05-09T04:00,80383.96000000,80666.66000000,80135.00000000,80228.89000000,1481.48785000
2026-05-09T08:00,80228.88000000,80452.44000000,80166.26000000,80345.46000000,1009.73824000
2026-05-09T12:00,80345.47000000,80600.00000000,80234.00000000,80527.92000000,1439.92073000
2026-05-09T16:00,80527.92000000,81080.00000000,80487.40000000,80938.53000000,1533.85565000
2026-05-09T20:00,80938.53000000,80938.53000000,80621.88000000,80678.40000000,990.30982000
2026-05-10T00:00,80678.41000000,80887.15000000,80572.77000000,80775.00000000,1332.26793000
2026-05-10T04:00,80774.99000000,80840.00000000,80658.97000000,80736.03000000,1238.41638000
2026-05-10T08:00,80736.03000000,80975.40000000,80691.00000000,80821.21000000,1108.70905000
2026-05-10T12:00,80821.21000000,81442.81000000,80784.20000000,81418.01000000,1642.67937000
2026-05-10T16:00,81418.01000000,81583.11000000,81148.00000000,81437.83000000,1798.22732000
2026-05-10T20:00,81437.83000000,82479.32000000,80279.77000000,82210.07000000,4914.01877000
2026-05-11T00:00,82210.07000000,82380.00000000,80525.00000000,80736.01000000,3139.85094000
2026-05-11T04:00,80736.00000000,81049.51000000,80639.99000000,80740.40000000,1595.10256000
2026-05-11T08:00,80740.40000000,81200.00000000,80621.87000000,81196.94000000,1639.39360000
